onset	duration	Condition Name
27.089	1	Deviant 3.0
41.347	1	Catch - Catch
54.179	1	Deviant 9.0
62.734	1	Deviant 5.0
72.714	1	Catch - Catch
85.546	1	Deviant 3.0
95.526	1	Deviant 12.0
109.784	1	Catch - Catch
121.19	1	Deviant 4.0
129.745	1	Deviant 6.0
138.299	1	Deviant 12.0
151.131	1	Catch - Catch
165.389	1	Deviant 9.0
175.369	1	Deviant 6.0
186.775	1	Deviant 8.0
196.756	1	Deviant 3.0
211.013	1	Deviant 4.0
222.419	1	Catch - Catch
235.251	1	Deviant 5.0
243.806	1	Deviant 12.0
258.063	1	Catch - Catch
266.618	1	Deviant 8.0
278.024	1	Deviant 6.0
288.005	1	Deviant 5.0
300.836	1	Deviant 8.0
312.243	1	Catch - Catch
320.797	1	Deviant 9.0
335.055	1	Deviant 6.0
345.035	1	Deviant 4.0
357.867	1	Catch - Catch
