onset	duration	Condition Name
29.941	1	Deviant 8.0
41.347	1	Deviant 5.0
49.902	1	Catch - Catch
59.882	1	Deviant 3.0
72.714	1	Deviant 8.0
86.972	1	Deviant 6.0
95.526	1	Catch - Catch
105.506	1	Deviant 9.0
116.912	1	Deviant 12.0
129.744	1	Catch - Catch
141.15	1	Deviant 6.0
151.131	1	Deviant 5.0
165.388	1	Deviant 4.0
173.943	1	Catch - Catch
186.775	1	Deviant 9.0
198.181	1	Deviant 4.0
212.438	1	Catch - Catch
222.419	1	Deviant 3.0
235.251	1	Deviant 6.0
243.805	1	Deviant 8.0
256.637	1	Catch - Catch
266.617	1	Deviant 9.0
278.04	1	Deviant 5.0
292.298	1	Deviant 4.0
300.852	1	Catch - Catch
310.832	1	Deviant 6.0
325.09	1	Deviant 12.0
336.496	1	Catch - Catch
345.051	1	Deviant 12.0
357.883	1	Deviant 3.0
